season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975,reference_mean_adjusted_epa_db,reference_sd_player_rates,source_pass_plus_manifest
2021,00-0022924,B.Roethlisberger,644,16,-44.2604722817656,-0.06872744143131304,0.39596273291925466,38,3,14,0,20799,0.04047878194474436,-0.1092062233760574,-70.32880785418097,3.9099878480124355,0.006071409701882664,-0.06265603172943038,-66.41882000616853,91.63865862117824,644,-0.16054894991552215,0.0374784759527051,83.7022879781008,99.75675931582502,0.040478781944744364,0.18502081604167445,data/metadata/20260915T175349423779Z/pass_plus_manifest.json
2017,00-0022942,P.Rivers,593,16,110.19312426912792,0.18582314379279583,0.4806070826306914,18,2,15,0,19356,0.005665880280425992,0.18015726351236983,106.8332572628353,-3.4703470930443574,-0.005852187340715611,0.17997095645208022,103.36291016979095,113.191112060303,593,0.047134021407128295,0.3236167220295701,103.13823847560296,124.0619795779802,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0022942,P.Rivers,545,16,121.74126488126754,0.22337846767205052,0.5064220183486239,32,5,8,0,19669,0.056297614668360245,0.16708085300369027,91.0590648870112,0.07667214872144745,0.00014068284169072926,0.22351915051374124,91.13573703573265,111.70243395191076,545,0.07613661771652618,0.3550500599201735,101.38836556947776,120.90718005223819,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0022942,P.Rivers,628,16,57.00381162094314,0.09077040067029163,0.4984076433121019,34,6,12,0,19839,0.0422891649790085,0.048481235691283125,30.4462160141258,-3.9130044239028083,-0.006230898764176446,0.08453950190611519,26.53321159022299,103.56288025894156,628,-0.05751783048384565,0.24029829407188533,91.58349022275536,116.69768499958646,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2020,00-0022942,P.Rivers,560,16,93.39865056769553,0.16678330458517057,0.49464285714285716,19,1,4,0,19932,0.0778852461675433,0.08889805841762727,49.782912713871276,-12.191137555624698,-0.02176988849218696,0.14501341609298363,37.59177515824658,105.52880115912667,560,0.0327918913514006,0.255223063346807,96.28602727210779,114.60587306739801,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
2025,00-0022942,P.Rivers,97,3,-11.195535567243311,-0.11541789244580733,0.422680412371134,5,0,2,0,19734,0.04314511131264041,-0.15856300375844773,-15.380611364569432,1.7659688259721384,0.018205864185279776,-0.09721202826052755,-13.614642538597295,88.77177209957067,,,,,,0.04314511131264042,0.18750573218388425,data/metadata/20260915T175358573019Z/pass_plus_manifest.json
2017,00-0023436,A.Smith,572,15,107.41035248481285,0.18778033651191056,0.4825174825174825,35,33,10,0,19356,0.005665880280425992,0.18211445623148456,104.16946896440918,-4.411366200139968,-0.00771217867157337,0.1800681578403372,99.75810276426921,113.19846809624342,572,0.031985622193434225,0.32910098043503994,101.99183335676832,124.47701893760829,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0023436,A.Smith,369,10,-7.673846503077407,-0.020796331986659637,0.44986449864498645,22,21,10,0,19669,0.056297614668360245,-0.07709394665501988,-28.447666315702335,-2.7139010437782947,-0.007354745376092939,-0.028151077362752575,-31.161567359480628,94.09014373762763,369,-0.1543657719028125,0.10370628292751623,85.25743496510835,103.3177353996067,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2020,00-0023436,A.Smith,277,8,-37.97345533115853,-0.13708828639407414,0.4151624548736462,22,3,1,0,19932,0.0778852461675433,-0.21497353256161744,-59.54766851956803,-2.269423336744995,-0.00819286403157038,-0.14528115042564452,-61.81709185631302,81.61959973684706,277,-0.381219935663932,0.016765512615825047,62.187241745302664,94.96606485650389,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
2017,00-0023459,A.Rodgers,275,7,30.761076316578254,0.11185845933301183,0.49818181818181817,22,16,7,0,19356,0.005665880280425992,0.10619257905258585,29.202959239461105,3.3528221993244594,0.012192080724816215,0.12405054005782805,32.555781438785566,108.95914994355459,275,0.012327988959707612,0.25668709136958767,100.50417706745257,118.99685882773268,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
