dropback_player_id,player,first_observed_season,last_observed_season,observed_seasons,qualified_seasons,qualified_seasons_above_100,dropbacks,dropback_weighted_season_pass_plus,pooled_adjusted_epa_per_dropback,sum_season_adjusted_epa_above_average
00-0031376,J.McKinnon,2023,2023,1,0,0,1,191.23852296659726,1.1038009751183677,1.1049320537000946
00-0031381,D.Adams,2022,2022,1,0,0,1,-49.95794068674002,-1.7914637434363567,-1.8069369889622795
00-0031382,J.Landry,2017,2021,4,0,0,10,166.6584724913003,0.9104881851464215,8.553643411342662
00-0031387,E.Ebron,2018,2018,1,0,0,1,-16.310460292927317,-1.6057167906247178,-1.662014405293078
00-0031395,G.Gilbert,2018,2021,4,0,0,81,86.43597856633079,-0.10587306682003034,-13.456871263078762
00-0031407,B.Bortles,2017,2019,3,2,1,1045,98.14178697172812,3.8893153568987586e-05,-29.902258482455633
00-0031431,M.Lee,2017,2017,1,0,0,1,66.06925439574098,-0.4426891310388802,-0.44835501131930616
00-0031503,J.Winston,2017,2025,9,4,3,2415,102.21612775272033,0.06675163835276714,73.06861763347727
00-0031543,T.Long,2021,2021,1,0,0,1,-130.2085297019541,-2.799079219735895,-2.8395580016806394
00-0031544,A.Cooper,2022,2022,1,0,0,1,-314.0944858370137,-4.974210128076045,-4.9896833736019675
00-0031549,N.Agholor,2018,2018,1,0,0,1,230.32381281533884,1.9185553488936882,1.862257734225328
00-0031568,B.Petty,2017,2017,1,0,0,126,82.06909526609311,-0.23126999754263922,-29.853920605706215
00-0031588,S.Diggs,2019,2024,3,0,0,4,131.04590693409466,0.4748237366890725,1.7118252549195754
00-0031589,B.Hundley,2017,2019,2,1,0,381,88.57519256363057,-0.14370546310305754,-57.459831099585955
00-0031800,T.Heinicke,2017,2024,7,2,0,1109,94.27828029240881,-0.04378143803753086,-81.59221639436645
00-0031941,J.Crowder,2020,2021,2,0,0,2,199.85120352663324,1.2610450799088544,2.4037261317054215
00-0031972,D.Jennings,2018,2018,1,0,0,1,186.46992162643267,1.2919066476457117,1.2356090329773515
00-0032009,A.Humphries,2020,2020,1,0,0,1,54.29837306685774,-0.4770029638330594,-0.5548882100006027
00-0032156,T.Siemian,2017,2023,5,2,0,810,85.47855887934367,-0.1688431085748212,-147.75716904534244
00-0032208,P.Dorsett,2022,2022,1,0,0,1,55.29210538258647,-0.5232401304572101,-0.5387133759831327
00-0032245,S.Mannion,2017,2021,4,0,0,103,72.00895055122085,-0.327407647856673,-36.585260744863646
00-0032268,M.Mariota,2017,2025,9,4,1,1826,99.42964859275281,0.02336260200804792,-13.109556051876968
00-0032399,M.Killebrew,2024,2024,1,0,0,1,-115.29298770205685,-2.667965000351563,-2.720315872808044
00-0032431,J.Rudock,2017,2017,1,0,0,5,1.2229999983703976,-1.2995563352979667,-6.526111077891963
00-0032434,B.Allen,2019,2025,6,0,0,357,74.65071675816557,-0.25259934867502987,-110.94131871054513
00-0032436,J.Driskel,2018,2023,5,1,0,463,91.87505934298035,-0.05413167735895169,-48.23002976130209
00-0032449,L.Edwards,2017,2017,1,0,0,1,290.99108811971325,2.529389127465777,2.5237232471853512
00-0032475,T.McEvoy,2017,2017,1,0,0,1,-54.34247175408507,-2.0337888808217426,-2.0394547611021685
00-0032496,M.Farley,2021,2021,1,0,0,1,344.22747986777875,3.0529566236072805,3.012477841662536
00-0032543,A.Erickson,2019,2020,2,0,0,2,145.32039859649961,0.5904619046054052,1.0607493980642586
00-0032630,J.Callahan,2017,2017,1,0,0,7,60.41044919253432,-0.5174636055089905,-3.661906400525915
00-0032764,D.Henry,2018,2025,5,0,0,10,146.94181738816445,0.6005956773396355,5.725886780827225
00-0032784,K.Hogan,2017,2017,1,0,0,86,86.77326493097216,-0.16910991217510632,-15.03071815117578
00-0032792,N.Sudfeld,2017,2022,4,0,0,45,77.54892518751808,-0.247706228632082,-12.596106223390986
00-0032943,R.Dixon,2020,2024,4,0,0,5,66.77884904537152,-0.39596100379363686,-2.181466410588799
00-0032950,C.Wentz,2017,2025,9,6,2,3261,98.43368077731996,0.02522322169646503,-51.3915036537993
00-0033009,T.Boyd,2018,2024,6,0,0,8,66.90349512016002,-0.3643653187591383,-3.249635723947897
00-0033040,T.Hill,2017,2017,1,0,0,1,-290.3258320211432,-5.1520322403317715,-5.1576981206121975
00-0033045,E.Elliott,2021,2021,1,0,0,1,28.260908326314492,-0.844402903625508,-0.8848816855702523
