season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average
2024,00-0039851,D.Maye,416,13,1.2279524613559243,0.0029518088013363564,0.4807692307692308,34,45,8,0,20116,0.052350872456481054,-0.049399063655144695,-20.550010480540195
2024,00-0036971,T.Lawrence,314,10,0.8311977563876098,0.0026471266126993943,0.43312101910828027,18,13,2,0,20116,0.052350872456481054,-0.04970374584378166,-15.606976194947443
2024,00-0036972,M.Jones,290,10,-1.204768958323846,-0.004154375718358089,0.4206896551724138,14,14,1,0,20116,0.052350872456481054,-0.056505248174839144,-16.386521970703352
2024,00-0039163,C.Stroud,620,17,-4.369104051435761,-0.007046942018444775,0.42258064516129035,52,37,8,0,20116,0.052350872456481054,-0.05939781447492583,-36.82664497445401
2024,00-0039150,B.Young,450,14,-11.356573473976056,-0.025236829942169012,0.4066666666666667,29,37,8,0,20116,0.052350872456481054,-0.07758770239865007,-34.914466079392525
2024,00-0039918,C.Williams,676,17,-30.44836130489553,-0.04504195459304073,0.40532544378698226,68,50,4,0,20116,0.052350872456481054,-0.09739282704952179,-65.83755108547672
2024,00-0033077,D.Prescott,311,8,-15.198715209329077,-0.04887046691102597,0.4212218649517685,21,6,3,0,20116,0.052350872456481054,-0.10122133936750702,-31.479836543294685
2024,00-0031503,J.Winston,327,9,-23.95938729454834,-0.07327029753684508,0.42201834862385323,24,8,4,0,20116,0.052350872456481054,-0.12562116999332612,-41.078122587817646
2024,00-0035710,D.Jones,381,10,-27.942026890727288,-0.07333865325650207,0.4304461942257218,29,15,4,0,20116,0.052350872456481054,-0.12568952571298314,-47.88770929664657
2024,00-0035993,T.Huntley,162,5,-14.480671191320349,-0.08938685920568117,0.3950617283950617,15,15,5,0,20116,0.052350872456481054,-0.14173773166216222,-22.96151252927028
2024,00-0033662,C.Rush,324,11,-34.90090198894915,-0.10771883329922577,0.404320987654321,13,4,4,0,20116,0.052350872456481054,-0.16006970575570684,-51.86258466484901
2024,00-0038476,T.DeVito,54,2,-6.1055295318656135,-0.11306536170121506,0.3888888888888889,6,4,0,0,20116,0.052350872456481054,-0.16541623415769613,-8.93247664451559
2024,00-0039164,A.Richardson,297,11,-34.007927177258786,-0.11450480531063564,0.367003367003367,14,21,3,0,20116,0.052350872456481054,-0.16685567776711668,-49.55613629683366
2024,00-0035289,G.Minshew II,343,10,-42.38802869492164,-0.12358025858577737,0.4489795918367347,29,11,4,0,20116,0.052350872456481054,-0.17593113104225844,-60.344377947494635
2024,00-0035704,D.Lock,202,7,-25.175172898342595,-0.12462956880367622,0.4306930693069307,12,10,1,0,20116,0.052350872456481054,-0.17698044126015727,-35.750049134551766
2024,00-0027973,A.Dalton,173,6,-25.039808882843914,-0.144738779669618,0.4161849710982659,7,6,1,0,20116,0.052350872456481054,-0.19708965212609908,-34.09650981781513
