season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975
2019,00-0029604,K.Cousins,481,15,82.26791267270157,0.17103516148170805,0.4698544698544699,28,9,15,0,19839,0.0422891649790085,0.12874599650269955,61.92682431779848,-0.972178871419028,-0.0020211618948420542,0.169013999586866,60.95464544637945,110.68643339628132,481,-0.021137124606012265,0.36143069771574465,94.65139708944194,126.91252069203173
2019,00-0033537,D.Watson,580,15,87.59971106869462,0.15103398460119763,0.4879310344827586,44,43,9,0,19839,0.0422891649790085,0.10874481962218913,63.07199538086968,6.574143690260905,0.011334730500449836,0.16236871510164747,69.64613907113059,110.12605081404809,580,-0.015702158548054082,0.3551897341991954,95.10971611561503,126.38623362955812
2019,00-0031345,J.Garoppolo,522,16,83.19092197487228,0.15936958232734152,0.5,36,12,10,0,19839,0.0422891649790085,0.11708041734833302,61.11597785582984,-0.5465561918123178,-0.0010470425130504172,0.15832253981429112,60.569421664017526,109.78484553371126,522,-0.007252918487487686,0.3131308201781994,95.82222240087347,122.83949565356372
2019,00-0031280,D.Carr,554,16,85.0393491708188,0.1535006302722361,0.4963898916967509,29,14,7,0,19839,0.0422891649790085,0.11121146529322759,61.61115177244808,-0.5670905583118735,-0.0010236291666279305,0.15247700110560816,61.04406121413621,109.2919037968447,554,0.04524874787780622,0.26745752310565,100.24957527564857,118.98796451000595
2019,00-0029263,R.Wilson,606,16,73.51948935550409,0.1213192893655183,0.4933993399339934,48,45,5,0,19839,0.0422891649790085,0.0790301243865098,47.89225537822494,12.751829945877759,0.02104262367306561,0.14236191303858392,60.6440853241027,108.43892012351606,606,-0.012521325858419974,0.28818251148420887,95.37794891140186,120.73565831155258
2019,00-0033106,J.Goff,657,16,64.49711170669761,0.09816911979710442,0.4657534246575342,22,10,9,0,19839,0.0422891649790085,0.05587995481809592,36.713130315489025,10.002088370090508,0.015223878797702447,0.11339299859480687,46.71521868557953,105.99603372540827,657,-0.0290898527790037,0.2556141772036928,93.98076058632566,117.989240561681
2019,00-0031237,T.Bridgewater,220,7,21.61950605210705,0.09827048205503204,0.45454545454545453,12,12,3,0,19839,0.0422891649790085,0.05598131707602354,12.315889756725179,1.8390147550889395,0.008359157977676997,0.10662964003270904,14.154904511814118,105.42569420961658,220,-0.07397039166358076,0.2713967580470767,90.19608103978389,119.3201517404263
2019,00-0030520,M.Glennon,10,2,1.0464354921714403,0.10464354921714403,0.4,0,0,0,0,19839,0.0422891649790085,0.062354384238135524,0.6235438423813553,-0.06263437934413052,-0.006263437934413052,0.09838011128273097,0.5609094630372248,104.73002915067096,,,,,
2019,00-0023459,A.Rodgers,630,16,59.66864048876921,0.09471212775995114,0.44285714285714284,36,26,11,0,19839,0.0422891649790085,0.052422962780942634,33.026466551993856,-0.4165552189424664,-0.0006611987602261371,0.094050928999725,32.60991133305139,104.36495849762285,630,-0.05455326538235576,0.25159343567341597,91.83348563686694,117.65018005550692
2019,00-0022942,P.Rivers,628,16,57.00381162094314,0.09077040067029163,0.4984076433121019,34,6,12,0,19839,0.0422891649790085,0.048481235691283125,30.4462160141258,-3.9130044239028083,-0.006230898764176446,0.08453950190611519,26.53321159022299,103.56288025894156,628,-0.05751783048384565,0.24029829407188533,91.58349022275536,116.69768499958646
2019,00-0025708,M.Moore,99,4,6.298319424290159,0.06361938812414301,0.45454545454545453,8,1,0,0,19839,0.0422891649790085,0.02133022314513451,2.111692091368317,2.069418085654055,0.020903212986404598,0.08452260111054762,4.181110177022372,103.56145505111442,,,,,
2019,00-0035704,D.Lock,172,5,15.577740255142773,0.0905682572973417,0.43023255813953487,5,11,4,0,19839,0.0422891649790085,0.0482790923183332,8.30400387875331,-1.4155879659671666,-0.008230162592832364,0.08233809470450934,6.888415912786144,103.37724031306314,172,-0.13584259454983796,0.4015406480465721,84.97853092601798,130.29490674181366
2019,00-0031503,J.Winston,704,16,46.79328532718872,0.06646773483975671,0.48011363636363635,47,33,15,0,19839,0.0422891649790085,0.024178569860748206,17.02171318196673,-1.3829560804096743,-0.0019644262505819237,0.06450330858917479,15.638757101557058,101.87327106703323,704,-0.06835578679458208,0.21219635072555584,90.66954862145136,114.32790841391632
2019,00-0026143,M.Ryan,685,15,31.027689362705775,0.04529589687986245,0.47007299270072994,48,22,16,0,19839,0.0422891649790085,0.0030067319008539456,2.05961135208495,6.1402255970190796,0.00896383298834902,0.05425972986821147,8.199836949104029,101.00945205255292,685,-0.06582385764763785,0.18632440189480762,90.8830607737982,112.146182480974
2019,00-0023682,R.Fitzpatrick,574,15,26.17929750937587,0.045608532246299426,0.4738675958188153,40,35,8,0,19839,0.0422891649790085,0.003319367267290922,1.905316811424992,4.064834254807928,0.007081592778411024,0.052690125024710446,5.97015106623292,100.87709064391144,574,-0.11351739049071859,0.19328842634843785,86.8611674824154,112.73344372084134
2019,00-0029665,R.Griffin III,44,6,0.8016562479658553,0.018219460181042167,0.5,5,1,0,0,19839,0.0422891649790085,-0.024069704797966336,-1.059067011110519,0.8554195950986646,0.01944135443406056,0.037660814615102726,-0.20364741601185432,99.60970114459738,,,,,
2019,00-0026544,C.Daniel,73,3,3.4502601659650445,0.04726383788993212,0.4657534246575342,7,2,1,0,19839,0.0422891649790085,0.004974672910923614,0.36315112249742354,-1.2480702633590406,-0.017096852922726582,0.030166984967205535,-0.884919140861617,98.97776256947009,,,,,
2019,00-0032950,C.Wentz,671,16,25.12992360438544,0.0374514509752391,0.46646795827123694,37,28,9,0,19839,0.0422891649790085,-0.004837714003769401,-3.2461060965292674,-9.322510331316328,-0.013893458019845498,0.023557992955393604,-12.568616427845596,98.42044045364857,671,-0.07598046537970864,0.12336247154895033,90.02657583620255,106.83673798870565
